DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0887321	8	8	2	1	12	1	1	0	12612	28	0	36.0952	0	0
DL	0.0889821	8	8	3	1	12	1	1	0	12612	28	0	36.3052	0	0
DL	0.0892321	8	9	0	1	12	1	1	0	12612	28	0	36.3292	0	0
DL	0.0894643	8	9	1	1	11	1	1	0	11560	28	0	36.3444	0	0
UL	0.0894821	8	9	1	12	1	1	1	0	1052	28	0	26.3407 	0	0
DL	0.0897143	8	9	2	1	11	1	1	0	11560	28	0	36.3441	0	0
UL	0.0897321	8	9	2	12	1	1	1	0	1052	28	0	26.3561 	0	0
DL	0.0899643	8	9	3	1	11	1	1	0	11560	28	0	36.3544	0	0
UL	0.0899821	8	9	3	12	1	1	1	0	1052	28	0	27.5421 	0	0
DL	0.0902321	9	0	0	1	12	1	1	0	12612	28	0	37.5394	0	0
DL	0.0904821	9	0	1	1	12	1	1	0	12612	28	0	37.5455	0	0
DL	0.0907321	9	0	2	1	12	1	1	0	12612	28	0	37.5363	0	0
DL	0.0909821	9	0	3	1	12	1	1	0	12612	28	0	37.5402	0	0
DL	0.0912143	9	1	0	1	11	1	1	0	11560	28	0	37.5371	0	0
UL	0.0912321	9	1	0	12	1	1	1	0	1052	28	0	27.5337 	0	0
DL	0.0914643	9	1	1	1	11	1	1	0	11560	28	0	37.5435	0	0
UL	0.0914821	9	1	1	12	1	1	1	0	1052	28	0	27.5582 	0	0
DL	0.0917143	9	1	2	1	11	1	1	0	11560	28	0	37.5658	0	0
